zip,zone,delivery_rate,pickup_rate
48186,PD Ann Arbor 5, $100.00 , $10.00 
48184,PD Ann Arbor 5, $100.00 , $10.00 
48198,PD Ann Arbor 5, $100.00 , $10.00 
48187,PD Ann Arbor 5, $100.00 , $10.00 
48135,PD Ann Arbor 5, $100.00 , $10.00 
48185,PD Ann Arbor 5, $100.00 , $10.00 
48127,PD Ann Arbor 5, $100.00 , $10.00 
48141,PD Ann Arbor 5, $100.00 , $10.00 
48239,PD Ann Arbor 5, $100.00 , $10.00 
48126,PD Ann Arbor 5, $100.00 , $10.00 
48124,PD Ann Arbor 5, $100.00 , $10.00 
48125,PD Ann Arbor 5, $100.00 , $10.00 
48122,PD Ann Arbor 5, $100.00 , $10.00 
48209,PD Ann Arbor 5, $100.00 , $10.00 
48120,PD Ann Arbor 5, $100.00 , $10.00 
48217,PD Ann Arbor 5, $100.00 , $10.00 
48216,PD Ann Arbor 5, $100.00 , $10.00 
48208,PD Ann Arbor 5, $100.00 , $10.00 
48201,PD Ann Arbor 5, $100.00 , $10.00 
48207,PD Ann Arbor 5, $100.00 , $10.00 
48215,PD Ann Arbor 5, $100.00 , $10.00 
48214,PD Ann Arbor 5, $100.00 , $10.00 
48230,PD Ann Arbor 5, $100.00 , $10.00 
48236,PD Ann Arbor 5, $100.00 , $10.00 
48224,PD Ann Arbor 5, $100.00 , $10.00 
48234,PD Ann Arbor 5, $100.00 , $10.00 
48202,PD Ann Arbor 5, $100.00 , $10.00 
48213,PD Ann Arbor 5, $100.00 , $10.00 
48212,PD Ann Arbor 5, $100.00 , $10.00 
48211,PD Ann Arbor 5, $100.00 , $10.00 
48206,PD Ann Arbor 5, $100.00 , $10.00 
48210,PD Ann Arbor 5, $100.00 , $10.00 
48204,PD Ann Arbor 5, $100.00 , $10.00 
48228,PD Ann Arbor 5, $100.00 , $10.00 
48128,PD Ann Arbor 5, $100.00 , $10.00 
48227,PD Ann Arbor 5, $100.00 , $10.00 
48238,PD Ann Arbor 5, $100.00 , $10.00 
48223,PD Ann Arbor 5, $100.00 , $10.00 
48103,PD Ann Arbor 6, $100.00 , $10.00 
48104,PD Ann Arbor 6, $100.00 , $10.00 
48105,PD Ann Arbor 6, $100.00 , $10.00 
48170,PD Ann Arbor 6, $100.00 , $10.00 
48168,PD Ann Arbor 6, $100.00 , $10.00 
48167,PD Ann Arbor 6, $100.00 , $10.00 
48374,PD Ann Arbor 6, $100.00 , $10.00 
48165,PD Ann Arbor 6, $100.00 , $10.00 
48393,PD Ann Arbor 6, $100.00 , $10.00 
48381,PD Ann Arbor 6, $100.00 , $10.00 
48382,PD Ann Arbor 6, $100.00 , $10.00 
48322,PD Ann Arbor 6, $100.00 , $10.00 
48390,PD Ann Arbor 6, $100.00 , $10.00 
48377,PD Ann Arbor 6, $100.00 , $10.00 
48375,PD Ann Arbor 6, $100.00 , $10.00 
48154,PD Ann Arbor 6, $100.00 , $10.00 
48150,PD Ann Arbor 6, $100.00 , $10.00 
48152,PD Ann Arbor 6, $100.00 , $10.00 
48336,PD Ann Arbor 6, $100.00 , $10.00 
48335,PD Ann Arbor 6, $100.00 , $10.00 
48331,PD Ann Arbor 6, $100.00 , $10.00 
48323,PD Ann Arbor 6, $100.00 , $10.00 
48334,PD Ann Arbor 6, $100.00 , $10.00 
48033,PD Ann Arbor 6, $100.00 , $10.00 
48235,PD Ann Arbor 6, $100.00 , $10.00 
48240,PD Ann Arbor 6, $100.00 , $10.00 
48219,PD Ann Arbor 6, $100.00 , $10.00 
48221,PD Ann Arbor 6, $100.00 , $10.00 
48203,PD Ann Arbor 6, $100.00 , $10.00 
48091,PD Ann Arbor 6, $100.00 , $10.00 
48089,PD Ann Arbor 6, $100.00 , $10.00 
48205,PD Ann Arbor 6, $100.00 , $10.00 
48080,PD Ann Arbor 6, $100.00 , $10.00 
48225,PD Ann Arbor 6, $100.00 , $10.00 
48021,PD Ann Arbor 6, $100.00 , $10.00 
48066,PD Ann Arbor 6, $100.00 , $10.00 
48081,PD Ann Arbor 6, $100.00 , $10.00 
48316,PD Ann Arbor 6, $100.00 , $10.00 
48315,PD Ann Arbor 6, $100.00 , $10.00 
48044,PD Ann Arbor 6, $100.00 , $10.00 
48038,PD Ann Arbor 6, $100.00 , $10.00 
48045,PD Ann Arbor 6, $100.00 , $10.00 
48036,PD Ann Arbor 6, $100.00 , $10.00 
48043,PD Ann Arbor 6, $100.00 , $10.00 
48082,PD Ann Arbor 6, $100.00 , $10.00 
48035,PD Ann Arbor 6, $100.00 , $10.00 
48026,PD Ann Arbor 6, $100.00 , $10.00 
48307,PD Ann Arbor 6, $100.00 , $10.00 
48309,PD Ann Arbor 6, $100.00 , $10.00 
48342,PD Ann Arbor 6, $100.00 , $10.00 
48326,PD Ann Arbor 6, $100.00 , $10.00 
48341,PD Ann Arbor 6, $100.00 , $10.00 
48302,PD Ann Arbor 6, $100.00 , $10.00 
48301,PD Ann Arbor 6, $100.00 , $10.00 
48025,PD Ann Arbor 6, $100.00 , $10.00 
48076,PD Ann Arbor 6, $100.00 , $10.00 
48075,PD Ann Arbor 6, $100.00 , $10.00 
48034,PD Ann Arbor 6, $100.00 , $10.00 
48237,PD Ann Arbor 6, $100.00 , $10.00 
48220,PD Ann Arbor 6, $100.00 , $10.00 
48304,PD Ann Arbor 6, $100.00 , $10.00 
48098,PD Ann Arbor 6, $100.00 , $10.00 
48085,PD Ann Arbor 6, $100.00 , $10.00 
48314,PD Ann Arbor 6, $100.00 , $10.00 
48317,PD Ann Arbor 6, $100.00 , $10.00 
48313,PD Ann Arbor 6, $100.00 , $10.00 
48312,PD Ann Arbor 6, $100.00 , $10.00 
48093,PD Ann Arbor 6, $100.00 , $10.00 
48088,PD Ann Arbor 6, $100.00 , $10.00 
48015,PD Ann Arbor 6, $100.00 , $10.00 
48092,PD Ann Arbor 6, $100.00 , $10.00 
48071,PD Ann Arbor 6, $100.00 , $10.00 
48030,PD Ann Arbor 6, $100.00 , $10.00 
48067,PD Ann Arbor 6, $100.00 , $10.00 
48073,PD Ann Arbor 6, $100.00 , $10.00 
48072,PD Ann Arbor 6, $100.00 , $10.00 
48070,PD Ann Arbor 6, $100.00 , $10.00 
48069,PD Ann Arbor 6, $100.00 , $10.00 
48397,PD Ann Arbor 6, $100.00 , $10.00 
48083,PD Ann Arbor 6, $100.00 , $10.00 
48310,PD Ann Arbor 6, $100.00 , $10.00 
48017,PD Ann Arbor 6, $100.00 , $10.00 
48084,PD Ann Arbor 6, $100.00 , $10.00 
48009,PD Ann Arbor 6, $100.00 , $10.00 
48139,PD Ann Arbor 2, $100.00 , $10.00 
48226,PD Ann Arbor 5, $100.00 , $10.00 
48176,PD Ann Arbor 6, $100.00 , $10.00 
48130,PD Ann Arbor 6, $100.00 , $10.00 
48118,PD Ann Arbor 6, $100.00 , $10.00 
49261,PD Ann Arbor 1, $100.00 , $10.00 
48317,PD Utica 1, $100.00 , $10.00 
48315,PD Utica 1, $100.00 , $10.00 
48316,PD Utica 1, $100.00 , $10.00 
48094,PD Utica 1, $100.00 , $10.00 
48095,PD Utica 1, $100.00 , $10.00 
48065,PD Utica 1, $100.00 , $10.00 
48003,PD Utica 1, $100.00 , $10.00 
48444,PD Utica 1, $100.00 , $10.00 
48416,PD Utica 1, $100.00 , $10.00 
48453,PD Utica 1, $100.00 , $10.00 
48426,PD Utica 1, $100.00 , $10.00 
48726,PD Utica 1, $100.00 , $10.00 
48413,PD Utica 1, $100.00 , $10.00 
48432,PD Utica 1, $100.00 , $10.00 
