zip,zone,delivery_rate,pickup_rate
48316,AHM Clarkston/Utic 4, $100.00 , $10.00 
48306,AHM Clarkston/Utic 4, $100.00 , $10.00 
48096,AHM Clarkston/Utic 3, $100.00 , $10.00 
48050,AHM Clarkston/Utic 3, $100.00 , $10.00 
48317,AHM Clarkston/Utic 5, $100.00 , $10.00 
48315,AHM Clarkston/Utic 5, $100.00 , $10.00 
48042,AHM Clarkston/Utic 5, $100.00 , $10.00 
48051,AHM Clarkston/Utic 5, $100.00 , $10.00 
48048,AHM Clarkston/Utic 5, $100.00 , $10.00 
48074,AHM Clarkston/Utic 5, $100.00 , $10.00 
48040,AHM Clarkston/Utic 5, $100.00 , $50.00 
48049,AHM Clarkston/Utic 5, $100.00 , $50.00 
48032,AHM Clarkston/Utic 5, $100.00 , $50.00 
48059,AHM Clarkston/Utic 5, $100.00 , $50.00 
48060,AHM Clarkston/Utic 5, $100.00 , $50.00 
48079,AHM Clarkston/Utic 5, $100.00 , $10.00 
48064,AHM Clarkston/Utic 5, $100.00 , $10.00 
48044,AHM Clarkston/Utic 5, $100.00 , $10.00 
48063,AHM Clarkston/Utic 5, $100.00 , $10.00 
48027,AHM Clarkston/Utic 5, $100.00 , $10.00 
49269,AHM Ann Arbor 1.A, $100.00 , $50.00 
49272,AHM Ann Arbor 1.A, $100.00 , $10.00 
49277,AHM Ann Arbor 1.A, $100.00 , $10.00 
49259,AHM Ann Arbor 1.A, $100.00 , $10.00 
49285,AHM Ann Arbor 1.A, $100.00 , $10.00 
48137,AHM Ann Arbor 1.A, $100.00 , $10.00 
48169,AHM Ann Arbor 1.A, $100.00 , $10.00 
48130,AHM Ann Arbor 1.A, $100.00 , $10.00 
49201,AHM Ann Arbor 1.A, $100.00 , $10.00 
48103,AHM Ann Arbor 1.A, $100.00 , $10.00 
49203,AHM Ann Arbor 1.A, $100.00 , $10.00 
49202,AHM Ann Arbor 1.A, $100.00 , $10.00 
49254,AHM Ann Arbor 1.A, $100.00 , $10.00 
49237,AHM Ann Arbor 1.B, $100.00 , $50.00 
49283,AHM Ann Arbor 1.B, $100.00 , $50.00 
49241,AHM Ann Arbor 1.B, $100.00 , $50.00 
49246,AHM Ann Arbor 1.B, $100.00 , $50.00 
49234,AHM Ann Arbor 1.B, $100.00 , $10.00 
49233,AHM Ann Arbor 1.B, $100.00 , $10.00 
49249,AHM Ann Arbor 1.B, $100.00 , $50.00 
49282,AHM Ann Arbor 1.B, $100.00 , $50.00 
49230,AHM Ann Arbor 1.B, $100.00 , $10.00 
48158,AHM Ann Arbor 1.B, $100.00 , $10.00 
48103,AHM Ann Arbor 1.B, $100.00 , $10.00 
49261,AHM Ann Arbor 1.A, $100.00 , $10.00 
49240,AHM Ann Arbor 1.B, $100.00 , $10.00 
48118,AHM Ann Arbor 1.B, $100.00 , $10.00 
48103,AHM Ann Arbor 2.A, $100.00 , $10.00 
48130,AHM Ann Arbor 2.A, $100.00 , $10.00 
48189,AHM Ann Arbor 2.A, $100.00 , $10.00 
48178,AHM Ann Arbor 2.A, $100.00 , $10.00 
48103,AHM Ann Arbor 2.B, $100.00 , $10.00 
48105,AHM Ann Arbor 2.B, $100.00 , $10.00 
48104,AHM Ann Arbor 2.B, $100.00 , $10.00 
48109,AHM Ann Arbor 2.B, $100.00 , $10.00 
48103,AHM Ann Arbor 3.A, $100.00 , $10.00 
48108,AHM Ann Arbor 3.A, $100.00 , $10.00 
48176,AHM Ann Arbor 3.A, $100.00 , $10.00 
49236,AHM Ann Arbor 3.A, $100.00 , $10.00 
49287,AHM Ann Arbor 3.A, $100.00 , $10.00 
49265,AHM Ann Arbor 3.A, $100.00 , $10.00 
49253,AHM Ann Arbor 3.A, $100.00 , $10.00 
49220,AHM Ann Arbor 3.A, $100.00 , $10.00 
